region,task,ablation,r2,pearson,mae,roc,pr_auc,best_f1,iou
south_europe_2003,HW,era5_only,,,,0.8390143366863628,0.2719462147500593,0.3582721964660172,0.2111886320538227
south_europe_2003,HW,cn_era5,,,,0.9169529479744298,0.6540371675839042,0.644781103786548,0.327745597878796
iberia_2003,CC,cn_only,0.6376239061355591,0.8043816209603483,0.09788186103105545,,,,
iberia_2003,CC,era5_only,-0.29274940490722656,0.07654974759930704,0.2501683831214905,,,,
iberia_2003,CC,cn_era5,0.6350520849227905,0.801450644546549,0.10205510258674622,,,,
iberia_2003,BC,cn_only,0.5821881294250488,0.7915822641455132,9.31604176912515,,,,
iberia_2003,BC,era5_only,-0.2541372776031494,0.29338680729863553,1.7497999351689941,,,,
iberia_2003,BC,cn_era5,0.4864926338195801,0.7285054597922479,1.0304572697350523,,,,
iberia_2003,DC,cn_only,0.5733020305633545,0.8009750694472618,0.01788841187953949,,,,
iberia_2003,DC,era5_only,-0.24550282955169678,0.48494010963764594,0.03223016485571861,,,,
iberia_2003,DC,cn_era5,0.5611408352851868,0.7735966416742752,0.017476528882980347,,,,
iberia_2003,HW,cn_only,,,,0.8640559180321107,0.7527225360034202,0.7624653959970725,0.5188951663527934
iberia_2003,HW,era5_only,,,,0.8044448512392011,0.41480135017307096,0.6138091905761605,0.44280281358328005
iberia_2003,HW,cn_era5,,,,0.8845807119437787,0.7215537662254643,0.7194775868908486,0.5075872846157009
mediterranean_2003,CC,cn_only,0.5618491768836975,0.7598208741168511,0.0917971059679985,,,,
mediterranean_2003,CC,era5_only,-0.10529828071594238,0.3549232480580929,0.20392930507659912,,,,
mediterranean_2003,CC,cn_era5,0.5623684525489807,0.7619200776372758,0.08917192369699478,,,,
mediterranean_2003,BC,cn_only,0.5759653449058533,0.7619978183977343,6.044749625289114,,,,
mediterranean_2003,BC,era5_only,-0.08661162853240967,0.2560590381008785,1.1113141908936086,,,,
mediterranean_2003,BC,cn_era5,0.5902566909790039,0.7731260746053634,5.578021387009358,,,,
mediterranean_2003,DC,cn_only,0.6073025465011597,0.7859946962224603,0.010082821361720562,,,,
mediterranean_2003,DC,era5_only,-0.07367253303527832,0.4532306812938736,0.019964613020420074,,,,
mediterranean_2003,DC,cn_era5,0.6119145154953003,0.7886554833955494,0.00990593247115612,,,,
mediterranean_2003,HW,cn_only,,,,0.9050154472592131,0.738504092450708,0.7067675465760533,0.5136222578919208
mediterranean_2003,HW,era5_only,,,,0.8151745007331602,0.4244133442767198,0.5065600817064069,0.3391901311203756
mediterranean_2003,HW,cn_era5,,,,0.9257567804681874,0.7581818329008483,0.7042300175560635,0.49503336874787257
eastern_europe_2010,CC,cn_only,0.5781431198120117,0.7750966923516784,0.15114158391952515,,,,
eastern_europe_2010,CC,era5_only,-0.16202592849731445,0.6485705339675263,0.39918461441993713,,,,
eastern_europe_2010,CC,cn_era5,0.5938109159469604,0.7842804096288917,0.14123061299324036,,,,
eastern_europe_2010,BC,cn_only,0.5569427013397217,0.774037702422422,1.5672652580178692,,,,
eastern_europe_2010,BC,era5_only,0.03784763813018799,0.6302404027464132,2.8171148187539075,,,,
eastern_europe_2010,BC,cn_era5,0.5406358242034912,0.7724848970777703,1.5545905398539617,,,,
eastern_europe_2010,DC,cn_only,0.6143227815628052,0.8002634811336029,0.026395626366138458,,,,
eastern_europe_2010,DC,era5_only,-0.20912861824035645,0.6398986948785664,0.059327151626348495,,,,
eastern_europe_2010,DC,cn_era5,0.5967156887054443,0.7874442984147655,0.02729877084493637,,,,
